Name,Latitude,Longitude,Country,State/Province
Attalea,20.615818,-105.337465,Mexico,Jalisco
Attalea,16.52116,-88.37128,Belize,Stann Creek
Attalea,9.009949,-79.554828,Panama,Panamá
Attalea,-9.956822,-67.873961,Brazil,Acre
Attalea,51.24166,2.93655,Belgium,West Flanders
Attalea,15.920855,-96.125603,Mexico,Oaxaca
Attalea,6.386186,-71.898011,Colombia,Arauca
Attalea,20.807082,-87.738155,Mexico,Yucatán
Attalea,8.400298,-83.34329,Costa Rica,Puntarenas
Attalea,16.798583,-88.385882,Belize,Stann Creek
Attalea,17.26054,-88.77525,Belize,Cayo
Attalea,8.749304,-75.193532,Colombia,Sucre
Attalea,7.132801,-73.106782,Colombia,Santander
Attalea,7.133289,-73.106804,Colombia,Santander
Attalea,7.13341,-73.105849,Colombia,Santander
Attalea,7.133154,-73.106127,Colombia,Santander
Attalea,7.132834,-73.106492,Colombia,Santander
Attalea,7.133477,-73.105582,Colombia,Santander
Attalea,-15.722333,-56.12625,Brazil,Mato Grosso
Attalea,9.148882,-79.835849,Panama,Panamá Oeste
Attalea,6.26125,-75.575784,Colombia,Antioquia
Attalea,-3.107631,-59.972992,Brazil,Amazonas
Attalea,2.255267,-75.761751,Colombia,Huila
Attalea,-9.928624,-67.829379,Brazil,Acre
Attalea,17.836682,-89.051005,Belize,Orange Walk
Attalea,17.595612,-89.011852,Belize,Orange Walk
Attalea,18.116596,-94.373375,Mexico,Veracruz
Attalea,18.093832,-94.36631,Mexico,Veracruz
Attalea,18.093832,-94.36631,Mexico,Veracruz
Attalea,18.093832,-94.36631,Mexico,Veracruz
Attalea,18.116386,-94.36631,Mexico,Veracruz
Attalea,18.093832,-94.36631,Mexico,Veracruz
Attalea,9.073743,-75.060739,Colombia,Sucre
Attalea,-7.741832,-72.55358,Brazil,Acre
Attalea,12.890139,-85.219944,Nicaragua,Atlántico Sur
Attalea,17.21682,-88.934867,Belize,Cayo
Attalea,-2.916389,-55.056111,Brazil,Pará
Attalea,5.56241,-72.32838,Colombia,Boyacá
Attalea,19.000731,-88.231238,Mexico,Quintana Roo
Attalea,-5.261778,-49.876583,Brazil,Pará
Attalea,17.260185,-88.784208,Belize,Cayo
Attalea,5.52087,-72.37914,Colombia,Casanare
Attalea,-16.378452,-56.621844,Brazil,Mato Grosso
Attalea,5.52212,-72.38258,Colombia,Casanare
Attalea,5.52098,-72.38253,Colombia,Casanare
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.686944,-76.661111,Colombia,Chocó
Attalea,5.44882,-72.42272,Colombia,Casanare
Attalea,5.485445,-72.429055,Colombia,Casanare
Attalea,17.262265,-88.791158,Belize,Cayo
Attalea,22.621908,-105.955899,Mexico,Sinaloa
Attalea,22.70592,-105.99095,Mexico,Sinaloa
Attalea,19.21028,-96.89461,Mexico,Veracruz
Attalea,4.704965,-74.036959,Colombia,Cundinamarca
Attalea,-17.781167,-63.218663,"Bolivia, Plurinational State of",Santa Cruz
Attalea,-18.785,-40.443056,Brazil,Espírito Santo
Attalea,-26.911667,-49.588055,Brazil,Santa Catarina
Attalea,17.557442,-88.52862,Belize,Belize
Attalea,-0.0425,-70.93972,Colombia,Vaupés
Attalea,16.778453,-88.428554,Belize,Stann Creek
Attalea,-19.364167,-43.408056,Brazil,Minas Gerais
Attalea,-6.945275,-47.381964,Brazil,Maranhão
Attalea,4.586111,-76.115833,Colombia,Valle del Cauca
Attalea,-16.370833,-39.034722,Brazil,Bahia
Attalea,18.421273,-88.79676,Mexico,Quintana Roo
Attalea,17.005562,-88.44024,Belize,Stann Creek
Attalea,-8.693169,-44.237039,Brazil,Piauí
Attalea,-15.492222,-39.131111,Brazil,Bahia
Attalea,10.19737,-85.236019,Costa Rica,Guanacaste
Attalea,21.780279,-105.421306,Mexico,Nayarit
Attalea,21.760638,-105.582352,Mexico,Nayarit
Attalea,-16.483166,-56.693962,Brazil,
Attalea,-16.378824,-56.621292,Brazil,
Attalea,-16.07555,-56.553558,Brazil,
Attalea,-17.364155,-56.773609,Brazil,
Attalea,-12,-37,Brazil,Bahia
Attalea,-2.927778,-44.065,Brazil,Maranhão
Attalea,9.370742,-84.006408,Costa Rica,Puntarenas
Attalea,-17.354317,-56.767426,Brazil,
Attalea,-17.00042,-56.958061,Brazil,
