Name,Latitude,Longitude,Country,State/Province
Bactris,8.607475,-74.772291,Colombia,Sucre
Bactris,-12.510287,-68.979845,Peru,Madre de Dios
Bactris,-0.994392,-77.816545,Ecuador,Napo
Bactris,-0.979705,-77.812867,Ecuador,Napo
Bactris,-1.00981,-77.817121,Ecuador,Napo
Bactris,-0.995576,-77.816895,Ecuador,Napo
Bactris,-0.995695,-77.817042,Ecuador,Napo
Bactris,-0.991491,-77.815835,Ecuador,Napo
Bactris,-0.986798,-77.82365,Ecuador,Napo
Bactris,6.235305,-75.566043,Colombia,Antioquia
Bactris,-0.995549,-77.816879,Ecuador,Napo
Bactris,-0.988787,-77.824149,Ecuador,Napo
Bactris,-0.986308,-77.80994,Ecuador,Napo
Bactris,-3.067145,-59.850296,Brazil,Amazonas
Bactris,-0.995921,-77.813523,Ecuador,Napo
Bactris,-0.994213,-77.815912,Ecuador,Napo
Bactris,-12.9525,-38.427778,Brazil,Bahia
Bactris,-9.368889,-69.925833,Brazil,Acre
Bactris,18.526389,-73.953889,Haiti,Grand'Anse
Bactris,9.073743,-75.060739,Colombia,Sucre
Bactris,15.691513,-96.620997,Mexico,Oaxaca
Bactris,17.64999,-88.398773,Belize,Belize
Bactris,-3.224495,-72.928921,Peru,Loreto
Bactris,-18.798611,-39.751944,Brazil,Espírito Santo
Bactris,-3.358056,-54.953611,Brazil,Pará
Bactris,-3.358056,-54.953611,Brazil,Pará
Bactris,4.846972,-73.177556,Colombia,Boyacá
Bactris,4.846972,-73.177556,Colombia,Boyacá
Bactris,13.82186,-90.00014,El Salvador,
Bactris,4.846972,-73.177556,Colombia,Boyacá
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,5.686944,-76.661111,Colombia,Chocó
Bactris,3.343056,-61.510833,Brazil,Roraima
Bactris,3.381667,-61.434167,Brazil,Roraima
Bactris,3.391111,-61.466944,Brazil,Roraima
Bactris,10.381627,-61.300577,Trinidad and Tobago,Couva-Tabaquite-Talparo
Bactris,11.127278,-72.482842,Colombia,La Guajira
Bactris,-27.78,-48.509722,Brazil,Santa Catarina
Bactris,0.9675,-51.658889,Brazil,Amapá
Bactris,-1.441056,-48.413444,Brazil,Pará
Bactris,12.566667,-85.966667,Nicaragua,Matagalpa
Bactris,-7.863333,-76.326667,Peru,San Martín
Bactris,0.11833,-70.95694,Colombia,Vaupés
Bactris,0.13889,-70.95056,Colombia,Vaupés
Bactris,0.01314,-71.02083,Colombia,Vaupés
Bactris,0.13333,-70.95694,Colombia,Vaupés
Bactris,0.01314,-71.02083,Colombia,Vaupés
