Name,Latitude,Longitude,Country,State/Province
Colpothrinax,22.795994,-83.011993,Cuba,
Colpothrinax,22.1378,-83.9833,Cuba,Pinar del Río
Copernicia,11.091772,-72.607758,Colombia,La Guajira
Copernicia,-7.874973,-34.84106,Brazil,Pernambuco
Copernicia,-3.607374,-38.96843,Brazil,Ceará
Copernicia,-3.607374,-38.96843,Brazil,Ceará
Copernicia,-3.607374,-38.96843,Brazil,Ceará
Copernicia,23.232041,-106.426162,Mexico,Sinaloa
Copernicia,-3.607374,-38.96843,Brazil,Ceará
Copernicia,-3.607374,-38.96843,Brazil,Ceará
Copernicia,-6.762222,-37.047222,Brazil,Rio Grande do Norte
Copernicia,-35.332701,-57.441835,Argentina,Buenos Aires
Copernicia,-16.6925,-57.7594,Brazil,Mato Grosso
Copernicia,-28.519913,-59.158566,Argentina,Santa Fe
Copernicia,-3.175556,-45.077222,Brazil,Maranhão
Copernicia,-6.7844,-38.0867,Brazil,Paraíba
Copernicia,-2.733425,-42.835792,Brazil,Maranhão
Copernicia,-4.9479,-39.240258,Brazil,Ceará
Copernicia,-5.062361,-41.495453,Brazil,Piauí
Copernicia,-9.184583,-40.294972,Brazil,Pernambuco
Copernicia,-3.175,-41.866944,Brazil,Piauí
Copernicia,-3.61325,-39.397083,Brazil,Ceará
Copernicia,-28.546489,-57.196526,Argentina,Corrientes
Copernicia,11.00605,-74.684492,Colombia,Atlántico
Copernicia,-28.545043,-57.095951,Argentina,Corrientes
Copernicia,-28.545043,-57.095951,Argentina,Corrientes
Copernicia,-28.547403,-57.210368,Argentina,Corrientes
Copernicia,-16.740892,-56.850428,Brazil,Mato Grosso
Copernicia,-19.939245,-56.262145,Brazil,Mato Grosso do Sul
Copernicia,-2.421333,-45.116556,Brazil,Maranhão
Copernicia,-2.36532,-45.105983,Brazil,Maranhão
Copernicia,-2.553889,-44.045389,Brazil,Maranhão
Copernicia,-2.553889,-44.045389,Brazil,Maranhão
Copernicia,-2.553889,-44.045389,Brazil,Maranhão
Copernicia,-3.515357,-44.81225,Brazil,Maranhão
Copernicia,-2.90669,-41.40379,Brazil,Piauí
Copernicia,-27.249199,-58.732021,Argentina,Chaco
Copernicia,-2.666694,-42.836222,Brazil,Maranhão
Copernicia,-28.592929,-57.219925,Argentina,Corrientes
Copernicia,-28.541669,-57.210972,Argentina,Corrientes
Copernicia,-2.473056,-44.053833,Brazil,Maranhão
Copernicia,-2.733733,-42.835583,Brazil,Maranhão
Copernicia,9.318889,-73.749444,Colombia,Cesar
Copernicia,-27.388067,-58.982942,Argentina,Chaco
Copernicia,-27.423924,-58.889269,Argentina,Chaco
Copernicia,-28.544942,-57.094544,Argentina,Corrientes
Copernicia,-28.627204,-57.416234,Argentina,Corrientes
Copernicia,-26.602495,-59.846134,Argentina,Chaco
Copernicia,-6.370833,-38.255,Brazil,Rio Grande do Norte
Copernicia,-4.039722,-38.637222,Brazil,Ceará
Copernicia,-5.65,-37.783333,Brazil,Rio Grande do Norte
Copernicia,-5.65,-37.783056,Brazil,Rio Grande do Norte
Copernicia,-7.0104,-42.696033,Brazil,Piauí
Copernicia,-6.095556,-37.919444,Brazil,Rio Grande do Norte
Copernicia,-5.939722,-36.720278,Brazil,Rio Grande do Norte
Copernicia,-5.580278,-36.720278,Brazil,Rio Grande do Norte
Copernicia,-6.1425,-38.535278,Brazil,Rio Grande do Norte
Copernicia,-7.163875,-38.434813,Brazil,Paraíba
Copernicia,-6.981105,-38.140938,Brazil,Paraíba
Copernicia,-9.434,-40.728777,Brazil,Pernambuco
Copernicia,25.678816,-80.273834,United States of America,
Copernicia,21.265833,-76.428055,Cuba,
Copernicia,-7.700667,-38.998389,Brazil,Ceará
Copernicia,-26.055833,-58.324444,Argentina,Formosa
Copernicia,-19.484476,-56.974068,Brazil,
Copernicia,-19.579887,-56.994366,Brazil,
Copernicia,-19.712526,-56.992577,Brazil,
Copernicia,-19.496693,-56.9557,Brazil,
Copernicia,-19.545879,-57.039085,Brazil,
Copernicia,-21.234722,-48.285833,Brazil,Sp
Copernicia,-9.458583,-40.673611,Brazil,Pernambuco
Copernicia,-9.274444,-40.333611,Brazil,Pernambuco
Copernicia,-9.274358,-40.333575,Brazil,Pernambuco
Copernicia,-25.12128,-58.182353,Argentina,Formosa
Copernicia,-9.471691,-40.597788,Brazil,Bahia
Copernicia,-26.334566,-58.20718,Argentina,Formosa
Copernicia,-1.619167,-48.976111,Brazil,Pará
Copernicia,-9.36223,-40.387438,Brazil,Pernambuco
Copernicia,-1.619167,-48.976111,Brazil,Pará
Copernicia,-1.619167,-48.976111,Brazil,Pará
Copernicia,-2.75,-42.799722,Brazil,Maranhão
Copernicia,22.439722,-84.300835,Cuba,
Copernicia,-6.996667,-38.211111,Brazil,Paraíba
Copernicia,-8.012056,-38.5925,Brazil,Pernambuco
Copernicia,-8.012055,-38.5925,Brazil,Pernambuco
Copernicia,21.8169,-84.8347,Cuba,Pinar del Río
Copernicia,22.7761,-83.4547,Cuba,Pinar del Río
Copernicia,21.8878,-82.7283,Cuba,Isla de la Juventud
Copernicia,21.6931,-82.995,Cuba,Isla de la Juventud
Copernicia,21.8003,-82.7911,Cuba,Isla de la Juventud
Corypha,7.2,80.4,Sri Lanka,
Corypha,9.065,-79.647499,Panama,Panamá
Corypha,9.064845,-79.646193,Panama,Panamá
Corypha,-19.291845,146.789117,Australia,Queensland
Corypha,-19.291849,146.78911,Australia,Queensland
Corypha,-19.291829,146.789107,Australia,Queensland
Corypha,-19.291841,146.789099,Australia,Queensland
Corypha,-19.291844,146.789102,Australia,Queensland
Corypha,9.065558,-79.646164,Panama,Panamá
Corypha,18.147466,-65.837996,Puerto Rico,Humacao
Corypha,-20.10716,57.57975,Mauritius,
Corypha,6.4833,2.6166,Benin,Ouémé
Corypha,-14.647011,144.112202,Australia,Queensland
Corypha,-14.525277,143.849418,Australia,Queensland
Corypha,7.271248,80.595871,Sri Lanka,
Corypha,-15.0825,141.725,Australia,Queensland
Cryosophila,20.475511,-105.388959,Mexico,Jalisco
Cryosophila,20.425387,-105.094323,Mexico,Jalisco
Cryosophila,6.32488,-75.547829,Colombia,Antioquia
Cryosophila,6.20242,-75.499848,Colombia,Antioquia
Cryosophila,20.571655,-105.100962,Mexico,Jalisco
Cryosophila,16.862525,-90.977272,Mexico,Chiapas
Cryosophila,6.324215,-75.413055,Colombia,Antioquia
Cryosophila,6.3384,-75.400511,Colombia,Antioquia
Cryosophila,6.312293,-75.534063,Colombia,Antioquia
Cryosophila,17.292337,-88.598277,Belize,Cayo
Cryosophila,8.672189,-82.919593,Costa Rica,Puntarenas
Cryosophila,17.098445,-88.975343,Belize,Cayo
Cryosophila,18.609722,-89.3025,Mexico,Campeche
