Name,Latitude,Longitude,Country,State/Province
Guihaia,22.716,106.331,Viet Nam,Cao Bang
Gulubia,-18.914675,169.087455,Vanuatu,
Hedyscepe,-31.582361,159.081702,Australia,New South Wales
Hedyscepe,-31.584808,159.078279,Australia,New South Wales
Hedyscepe,-31.573417,159.085857,Australia,New South Wales
Hedyscepe,-31.584293,159.079438,Australia,New South Wales
Hedyscepe,-31.575881,159.084858,Australia,New South Wales
Hedyscepe,-31.575881,159.084858,Australia,New South Wales
Hedyscepe,-31.563238,159.088535,Australia,New South Wales
Hedyscepe,-31.563238,159.088535,Australia,New South Wales
Hedyscepe,-31.563698,159.08922,Australia,New South Wales
Hedyscepe,-31.563698,159.08922,Australia,New South Wales
Hedyscepe,-31.582723,159.080786,Australia,New South Wales
Hedyscepe,-31.582723,159.080786,Australia,New South Wales
Hedyscepe,-31.582723,159.080786,Australia,New South Wales
Hedyscepe,-31.574997,159.084721,Australia,New South Wales
Hedyscepe,-31.574997,159.084721,Australia,New South Wales
Hedyscepe,-31.573417,159.085857,Australia,New South Wales
Hedyscepe,-31.584808,159.078279,Australia,New South Wales
Hedyscepe,-31.582361,159.081702,Australia,New South Wales
Hedyscepe,-31.582723,159.080786,Australia,New South Wales
Hedyscepe,-31.563698,159.08922,Australia,New South Wales
Hemithrinax,22.821112,-80.139999,Cuba,
Heterospathe,8.27399,125.18586,Philippines,Province of Bukidnon
Heterospathe,-9.31793,148.308,Papua New Guinea,Northern Province
Heterospathe,-6.16667,146.083,Papua New Guinea,Morobe
Heterospathe,-6.16667,146.083,Papua New Guinea,Morobe
Heterospathe,-6.163017,146.842983,Papua New Guinea,Morobe
Heterospathe,-5.76083,145.18583,Papua New Guinea,
Heterospathe,-5.76083,145.18583,Papua New Guinea,
Heterospathe,-5.76083,145.18583,Papua New Guinea,
Heterospathe,-5.76083,145.18583,Papua New Guinea,
Heterospathe,-5.76083,145.18583,Papua New Guinea,
Heterospathe,-6.16667,146.083,Papua New Guinea,Morobe
Heterospathe,-5.72056,145.26944,Papua New Guinea,
Heterospathe,-5.72056,145.26944,Papua New Guinea,
Heterospathe,-5.75639,145.23667,Papua New Guinea,
Heterospathe,-5.72056,145.26944,Papua New Guinea,
Heterospathe,-5.75639,145.23667,Papua New Guinea,
Heterospathe,-5.72056,145.26944,Papua New Guinea,
Heterospathe,-5.75639,145.23667,Papua New Guinea,
Heterospathe,-5.75639,145.23667,Papua New Guinea,
Heterospathe,-6.163017,146.842983,Papua New Guinea,Morobe
Heterospathe,-6.163017,146.842983,Papua New Guinea,Morobe
Howea,-36.956289,174.710246,New Zealand,Auckland
Howea,6.305145,-75.472483,Colombia,Antioquia
Howea,-33.775956,151.167311,Australia,New South Wales
Howea,-36.870182,174.778503,New Zealand,Auckland
Howea,28.647501,-17.759068,Spain,
Howea,-33.691616,151.300346,Australia,New South Wales
Howea,-33.70944,151.13358,Australia,New South Wales
Howea,-33.84425,151.24114,Australia,New South Wales
Howea,-33.84425,151.24114,Australia,New South Wales
Howea,-36.708506,174.626213,New Zealand,Auckland
Howea,-35.04787,150.59654,Australia,New South Wales
Howea,-34.770582,150.679402,Australia,New South Wales
Howea,-33.869844,151.173328,Australia,New South Wales
Howea,-34.277611,150.952416,Australia,New South Wales
Howea,-31.5559,159.0929,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.52576,159.06967,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.52086,159.05792,Australia,New South Wales
Howea,-31.53118,159.07581,Australia,New South Wales
Howea,-31.54747,159.09106,Australia,New South Wales
Howea,-31.5621,159.0847,Australia,New South Wales
Howea,-31.5559,159.0929,Australia,New South Wales
Howea,-31.56277,159.08334,Australia,New South Wales
Howea,-31.53774,159.08041,Australia,New South Wales
Howea,-31.54747,159.09106,Australia,New South Wales
Howea,-31.56277,159.08334,Australia,New South Wales
Howea,-31.53118,159.07581,Australia,New South Wales
Howea,-31.51933,159.06502,Australia,New South Wales
Howea,-31.56655,159.07581,Australia,New South Wales
Howea,-31.52576,159.06967,Australia,New South Wales
Howea,-31.5621,159.0847,Australia,New South Wales
Howea,-31.5559,159.0929,Australia,New South Wales
Howea,-31.5621,159.0847,Australia,New South Wales
Howea,-31.52086,159.05792,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.56495,159.07593,Australia,New South Wales
Howea,-31.54947,159.08733,Australia,New South Wales
Howea,-31.53774,159.08041,Australia,New South Wales
Howea,-31.5559,159.0929,Australia,New South Wales
Howea,-31.56495,159.07593,Australia,New South Wales
Howea,-31.56655,159.07581,Australia,New South Wales
Howea,-31.53774,159.08041,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.56655,159.07581,Australia,New South Wales
Howea,-31.52086,159.05792,Australia,New South Wales
Howea,-31.53118,159.07581,Australia,New South Wales
Howea,-31.56655,159.07581,Australia,New South Wales
Howea,-31.51933,159.06502,Australia,New South Wales
Howea,-31.5621,159.0847,Australia,New South Wales
Howea,-31.54947,159.08733,Australia,New South Wales
Howea,-31.53774,159.08041,Australia,New South Wales
Howea,-31.52576,159.06967,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.54528,159.08578,Australia,New South Wales
Howea,-31.53118,159.07581,Australia,New South Wales
Howea,-31.54528,159.08578,Australia,New South Wales
Howea,-31.51933,159.06502,Australia,New South Wales
Howea,-31.53774,159.08041,Australia,New South Wales
Howea,-31.54528,159.08578,Australia,New South Wales
Howea,-31.54747,159.09106,Australia,New South Wales
Howea,-31.56277,159.08334,Australia,New South Wales
Howea,-31.51933,159.06502,Australia,New South Wales
Howea,-31.56495,159.07593,Australia,New South Wales
Howea,-31.54947,159.08733,Australia,New South Wales
Howea,-31.56655,159.07581,Australia,New South Wales
Howea,-31.51933,159.06502,Australia,New South Wales
Howea,-31.5559,159.0929,Australia,New South Wales
Howea,-31.52576,159.06967,Australia,New South Wales
Howea,-31.54947,159.08733,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.54747,159.09106,Australia,New South Wales
Howea,-31.52086,159.05792,Australia,New South Wales
Howea,-31.53118,159.07581,Australia,New South Wales
Howea,-31.52576,159.06967,Australia,New South Wales
Howea,-31.52576,159.06967,Australia,New South Wales
Howea,-31.54528,159.08578,Australia,New South Wales
Howea,-31.54947,159.08733,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.56655,159.07581,Australia,New South Wales
Howea,-31.52086,159.05792,Australia,New South Wales
Howea,-31.56495,159.07593,Australia,New South Wales
Howea,-31.54292,159.08084,Australia,New South Wales
Howea,-31.54747,159.09106,Australia,New South Wales
Howea,-31.56495,159.07593,Australia,New South Wales
Howea,-31.56277,159.08334,Australia,New South Wales
Howea,-31.54528,159.08578,Australia,New South Wales
Howea,-31.5621,159.0847,Australia,New South Wales
Howea,32.647778,-16.911299,Portugal,
Howea,32.645176,-16.914461,Portugal,
Howea,-33.633,151.338,Australia,New South Wales
Howea,-33.784169,151.019715,Australia,New South Wales
Howea,-36.54502,174.708115,New Zealand,Auckland
Howea,-36.545519,174.705945,New Zealand,North Auckland Land District
Howea,-36.545056,174.708111,New Zealand,
Howea,-34.070725,150.766552,Australia,New South Wales
Howea,-33.844593,151.145927,Australia,New South Wales
Howea,-33.709386,151.133518,Australia,New South Wales
Howea,32.662357,-16.895256,Portugal,
Howea,-36.884192,174.719248,New Zealand,Auckland
Howea,-33.95872,151.02234,Australia,New South Wales
Howea,-29.0414,167.9489,Norfolk Island,
Howea,-29.0414,167.9489,Norfolk Island,
Howea,-29.0414,167.9489,Norfolk Island,
Howea,-33.461198,150.904126,Australia,New South Wales
Howea,-31.565701,159.075502,Australia,New South Wales
Howea,-31.565701,159.075502,Australia,New South Wales
Howea,-31.527652,159.076715,Australia,New South Wales
Howea,-31.527652,159.076715,Australia,New South Wales
Howea,-33.730119,151.086579,Australia,New South Wales
Howea,-31.517303,159.061255,Australia,New South Wales
Howea,-31.562362,159.076132,Australia,New South Wales
Howea,-31.562362,159.076132,Australia,New South Wales
Howea,-31.513872,159.044339,Australia,New South Wales
Howea,-31.564419,159.075744,Australia,New South Wales
Howea,-31.564419,159.075744,Australia,New South Wales
Howea,-31.564419,159.075744,Australia,New South Wales
Howea,-31.562777,159.076522,Australia,New South Wales
Howea,-31.562777,159.076522,Australia,New South Wales
Howea,-31.553279,159.085375,Australia,New South Wales
Howea,-31.553279,159.085375,Australia,New South Wales
Howea,-31.5147,159.049605,Australia,New South Wales
Howea,-31.577825,159.078769,Australia,New South Wales
Howea,-31.5147,159.049605,Australia,New South Wales
Howea,-31.577825,159.078769,Australia,New South Wales
Howea,-31.574244,159.076658,Australia,New South Wales
Howea,-31.53348,159.077056,Australia,New South Wales
Howea,-31.580431,159.080921,Australia,New South Wales
Howea,-31.574244,159.076658,Australia,New South Wales
Howea,-31.580431,159.080921,Australia,New South Wales
Howea,-31.53348,159.077056,Australia,New South Wales
Howea,-31.53348,159.077056,Australia,New South Wales
Howea,-31.580431,159.080921,Australia,New South Wales
Howea,-31.5181,159.053062,Australia,New South Wales
Howea,-31.560891,159.076415,Australia,New South Wales
Howea,-31.5181,159.053062,Australia,New South Wales
Howea,-31.560891,159.076415,Australia,New South Wales
Howea,-31.560891,159.076415,Australia,New South Wales
Howea,-31.560891,159.076415,Australia,New South Wales
Howea,-31.5181,159.053062,Australia,New South Wales
Howea,-31.520627,159.052853,Australia,New South Wales
