Name,Latitude,Longitude,Country,State/Province
Oenocarpus,9.142266,-79.844717,Panama,Panamá Oeste
Oenocarpus,-3.066717,-59.850726,Brazil,Amazonas
Oenocarpus,-9.353611,-69.934167,Brazil,Acre
Oenocarpus,-6.537386,-58.427722,Brazil,Amazonas
Oenocarpus,-3.370556,-54.977222,Brazil,Pará
Oenocarpus,5.686944,-76.661111,Colombia,Chocó
Oenocarpus,5.686944,-76.661111,Colombia,Chocó
Oenocarpus,5.686944,-76.661111,Colombia,Chocó
Oenocarpus,5.317222,-76.209083,Colombia,Chocó
Oenocarpus,-15.075833,-68.466111,"Bolivia, Plurinational State of",La Paz
Oenocarpus,1.28783,-72.63167,Colombia,Guaviare
Oenocarpus,-7.052222,-75.802222,Peru,Loreto
Oenocarpus,-3.005935,-59.939151,Brazil,Amazonas
Oenocarpus,-2.44954,-59.769738,Brazil,Amazonas
Oenocarpus,-7.357222,-75.998889,Peru,Loreto
Oenocarpus,-7.354444,-76.013611,Peru,Loreto
Oenocarpus,-7.343889,-76.006944,Peru,Loreto
Oenocarpus,-2.809655,-55.026497,Brazil,Pará
Oenocarpus,6.006378,-76.769786,Colombia,Chocó
Oenocarpus,6.006378,-76.769786,Colombia,Chocó
Oenocarpus,-2.513315,-54.939603,Brazil,Pará
Oenocarpus,-2.82988,-60.050544,Brazil,Amazonas
Oenocarpus,3.531519,-73.422204,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.528927,-73.401966,Colombia,Meta
Oenocarpus,3.526901,-73.404027,Colombia,Meta
Oenocarpus,3.522678,-73.41193,Colombia,Meta
Oenocarpus,3.522281,-73.412628,Colombia,Meta
Oenocarpus,3.523745,-73.41537,Colombia,Meta
Oenocarpus,3.531629,-73.42185,Colombia,Meta
Oenocarpus,3.530892,-73.421792,Colombia,Meta
Oenocarpus,3.528248,-73.40357,Colombia,Meta
Oenocarpus,3.523302,-73.411302,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522328,-73.412418,Colombia,Meta
Oenocarpus,3.52222,-73.412888,Colombia,Meta
Oenocarpus,3.522252,-73.413085,Colombia,Meta
Oenocarpus,3.522252,-73.413085,Colombia,Meta
Oenocarpus,3.522939,-73.413679,Colombia,Meta
Oenocarpus,3.523403,-73.415168,Colombia,Meta
Oenocarpus,3.523745,-73.41537,Colombia,Meta
Oenocarpus,3.531519,-73.422204,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.522328,-73.412418,Colombia,Meta
Oenocarpus,3.523181,-73.414723,Colombia,Meta
Oenocarpus,3.523745,-73.41537,Colombia,Meta
Oenocarpus,3.524585,-73.407499,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522678,-73.41193,Colombia,Meta
Oenocarpus,3.522252,-73.413085,Colombia,Meta
Oenocarpus,3.523095,-73.414338,Colombia,Meta
Oenocarpus,3.523181,-73.414723,Colombia,Meta
Oenocarpus,3.531678,-73.421675,Colombia,Meta
Oenocarpus,3.531434,-73.421811,Colombia,Meta
Oenocarpus,3.531378,-73.421399,Colombia,Meta
Oenocarpus,3.531378,-73.421399,Colombia,Meta
Oenocarpus,3.530892,-73.421792,Colombia,Meta
Oenocarpus,3.524678,-73.407495,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522678,-73.41193,Colombia,Meta
Oenocarpus,3.522252,-73.413085,Colombia,Meta
Oenocarpus,3.522252,-73.413085,Colombia,Meta
Oenocarpus,3.523538,-73.415255,Colombia,Meta
Oenocarpus,3.531519,-73.422204,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.531389,-73.422007,Colombia,Meta
Oenocarpus,3.531156,-73.421421,Colombia,Meta
Oenocarpus,3.528076,-73.403955,Colombia,Meta
Oenocarpus,3.522914,-73.411715,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522678,-73.41193,Colombia,Meta
Oenocarpus,3.522281,-73.412628,Colombia,Meta
Oenocarpus,3.522252,-73.413085,Colombia,Meta
Oenocarpus,3.522864,-73.413535,Colombia,Meta
Oenocarpus,3.523745,-73.41537,Colombia,Meta
Oenocarpus,3.531519,-73.422204,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.531377,-73.421652,Colombia,Meta
Oenocarpus,3.527276,-73.404217,Colombia,Meta
Oenocarpus,3.524585,-73.407499,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522502,-73.412075,Colombia,Meta
Oenocarpus,3.522281,-73.412628,Colombia,Meta
Oenocarpus,3.523403,-73.415168,Colombia,Meta
Oenocarpus,3.523745,-73.41537,Colombia,Meta
Oenocarpus,3.531679,-73.421488,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.53157,-73.421606,Colombia,Meta
Oenocarpus,3.531389,-73.422007,Colombia,Meta
Oenocarpus,3.522947,-73.413924,Colombia,Meta
Oenocarpus,3.526901,-73.404027,Colombia,Meta
Oenocarpus,3.524585,-73.407499,Colombia,Meta
Oenocarpus,3.522741,-73.411791,Colombia,Meta
Oenocarpus,3.522678,-73.41193,Colombia,Meta
Oenocarpus,3.522281,-73.412628,Colombia,Meta
Oenocarpus,3.522281,-73.412628,Colombia,Meta
Oenocarpus,3.522422,-73.413127,Colombia,Meta
Oenocarpus,3.523238,-73.414989,Colombia,Meta
Oenocarpus,3.523745,-73.41537,Colombia,Meta
