Name,Latitude,Longitude,Country,State/Province
Gaussia,17.519083,-88.89402,Belize,Orange Walk
Gaussia,17.071118,-88.985372,Belize,Cayo
Geonoma,17.16153,-88.678303,Belize,Cayo
Geonoma,16.536667,-88.806111,Belize,Toledo
Geonoma,17.125184,-88.853633,Belize,Cayo
Geonoma,-14.595444,-68.939333,"Bolivia, Plurinational State of",La Paz
Geonoma,-14.641972,-68.956111,"Bolivia, Plurinational State of",La Paz
Geonoma,-4.5425,-56.314167,Brazil,Pará
Geonoma,-25.087944,-53.654278,Brazil,Pr
Geonoma,-19.591389,-43.435556,Brazil,Minas Gerais
Geonoma,-9.396389,-69.947778,Brazil,Acre
Geonoma,-4.549167,-56.303611,Brazil,Pará
Geonoma,-9.117116,-68.954445,Brazil,Acre
Geonoma,-28.189722,-49.388889,Brazil,Santa Catarina
Geonoma,-26.126842,-48.624675,Brazil,Santa Catarina
Geonoma,-22.951944,-43.29,Brazil,Rio de Janeiro
Geonoma,3.397222,-61.518056,Brazil,Roraima
Geonoma,0.936667,-51.6175,Brazil,Amapá
Geonoma,0.936667,-51.6175,Brazil,Amapá
Geonoma,-1.441083,-48.414389,Brazil,Pará
Geonoma,0.963056,-51.654167,Brazil,Amapá
Geonoma,0.966111,-51.658056,Brazil,Amapá
Geonoma,-22.428611,-44.595,Brazil,Rio de Janeiro
Geonoma,-26.3225,-49.308056,Brazil,Santa Catarina
Geonoma,-22.414722,-42.736111,Brazil,Rio de Janeiro
Geonoma,-22.356389,-43.734444,Brazil,Rio de Janeiro
Geonoma,-22.354444,-43.733333,Brazil,Rio de Janeiro
Geonoma,-22.463611,-43.014167,Brazil,Rio de Janeiro
Geonoma,-22.463611,-43.014444,Brazil,Rio de Janeiro
Geonoma,-22.463333,-43.014167,Brazil,Rio de Janeiro
Geonoma,-22.463333,-43.014167,Brazil,Rio de Janeiro
Geonoma,-22.3375,-44.537778,Brazil,Rio de Janeiro
Geonoma,-22.395278,-42.736111,Brazil,Rio de Janeiro
Geonoma,-22.395278,-42.736111,Brazil,Rio de Janeiro
Geonoma,-8.888333,-58.568333,Brazil,Mato Grosso
Geonoma,-8.984722,-58.588333,Brazil,Mato Grosso
